Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,12.3,12,12,12,12.2,12,12.3,12.1
10,12.3,12,12,12,12.2,12.1,12.4,12.2
20,12.3,12,12,12.1,12.2,12.2,12.4,12.4
30,12.3,12,12.1,12.2,12.3,12.3,12.5,12.5
40,12.3,12.1,12.1,12.2,12.4,12.4,12.7,12.7
50,12.4,12.1,12.2,12.3,12.5,12.5,12.8,13
60,12.4,12.2,12.3,12.4,12.6,12.7,13,13.2
70,12.4,12.2,12.4,12.5,12.7,12.9,13.2,13.4
80,12.5,12.3,12.5,12.6,12.9,13,13.4,13.6
90,12.6,12.4,12.6,12.8,13,13.2,13.5,13.8
100,12.6,12.5,12.7,12.9,13.1,13.4,13.7,14.1
110,12.7,12.6,12.8,13,13.3,13.6,13.9,14.3
120,12.7,12.6,12.9,13.1,13.4,13.7,14.1,14.5
130,12.8,12.7,13,13.3,13.6,13.9,14.3,14.7
140,12.8,12.8,13.1,13.4,13.7,14.1,14.4,14.9
150,12.9,12.9,13.2,13.5,13.8,14.2,14.6,15.1
160,13,13,13.3,13.6,14,14.4,14.8,15.3
170,13,13.1,13.4,13.8,14.1,14.6,15,15.5
180,13.1,13.1,13.5,13.9,14.3,14.7,15.1,15.7
190,13.1,13.2,13.6,14,14.4,14.9,15.3,15.9
200,13.2,13.3,13.7,14.1,14.5,15,15.5,16
210,13.3,13.4,13.8,14.2,14.6,15.1,15.6,16.2
220,13.3,13.5,13.9,14.3,14.7,15.3,15.7,16.4
230,13.4,13.5,14,14.4,14.9,15.4,15.9,16.5
240,13.4,13.6,14.1,14.5,15,15.5,16,16.7
250,13.5,13.7,14.1,14.6,15.1,15.7,16.1,16.8
260,13.5,13.7,14.2,14.7,15.2,15.8,16.3,17
270,13.6,13.8,14.3,14.8,15.3,15.9,16.4,17.1
280,13.6,13.8,14.4,14.9,15.4,16,16.5,17.2
290,13.7,13.9,14.4,14.9,15.5,16.1,16.6,17.3
300,13.7,14,14.5,15,15.6,16.2,16.7,17.5
310,13.8,14,14.6,15.1,15.7,16.3,16.8,17.6
320,13.8,14.1,14.6,15.2,15.7,16.4,16.9,17.7
330,13.8,14.1,14.7,15.2,15.8,16.5,17,17.8
340,13.9,14.2,14.7,15.3,15.9,16.6,17.1,17.9
350,13.9,14.2,14.8,15.4,16,16.7,17.2,18
360,13.9,14.3,14.9,15.5,16.1,16.7,17.3,18.1
370,14,14.3,14.9,15.5,16.1,16.8,17.4,18.2
380,14,14.3,15,15.6,16.2,16.9,17.5,18.3
390,14.1,14.4,15,15.6,16.3,17,17.6,18.4
400,14.1,14.4,15.1,15.7,16.3,17,17.7,18.4
410,14.1,14.5,15.1,15.7,16.4,17.1,17.7,18.5
420,14.1,14.5,15.1,15.8,16.4,17.2,17.8,18.6
430,14.2,14.5,15.2,15.8,16.5,17.2,17.9,18.7
440,14.2,14.6,15.2,15.9,16.5,17.3,17.9,18.7
450,14.2,14.6,15.3,15.9,16.6,17.3,18,18.8
460,14.2,14.6,15.3,16,16.7,17.4,18.1,18.9
470,14.3,14.7,15.3,16,16.7,17.4,18.1,19
480,14.3,14.7,15.4,16,16.7,17.5,18.2,19
490,14.3,14.7,15.4,16.1,16.8,17.5,18.2,19.1
500,14.3,14.8,15.4,16.1,16.8,17.6,18.3,19.1
510,14.4,14.8,15.5,16.2,16.9,17.6,18.3,19.2
520,14.4,14.8,15.5,16.2,16.9,17.7,18.4,19.2
530,14.4,14.8,15.5,16.2,17,17.7,18.4,19.3
540,14.4,14.8,15.6,16.3,17,17.8,18.5,19.3
550,14.5,14.9,15.6,16.3,17,17.8,18.5,19.4
560,14.5,14.9,15.6,16.3,17.1,17.8,18.5,19.4
570,14.5,14.9,15.6,16.4,17.1,17.9,18.6,19.5
580,14.5,14.9,15.7,16.4,17.1,17.9,18.6,19.5
590,14.5,15,15.7,16.4,17.2,17.9,18.7,19.5
600,14.5,15,15.7,16.4,17.2,18,18.7,19.6
610,14.5,15,15.7,16.5,17.2,18,18.7,19.6
620,14.6,15,15.8,16.5,17.3,18.1,18.8,19.7
630,14.6,15,15.8,16.5,17.3,18.1,18.8,19.7
640,14.6,15.1,15.8,16.5,17.3,18.1,18.9,19.8
650,14.6,15.1,15.8,16.6,17.3,18.1,18.9,19.8
660,14.6,15.1,15.8,16.6,17.4,18.2,18.9,19.8
670,14.6,15.1,15.8,16.6,17.4,18.2,18.9,19.8
680,14.6,15.1,15.9,16.6,17.4,18.2,19,19.9
690,14.6,15.1,15.9,16.6,17.4,18.2,19,19.9
700,14.7,15.2,15.9,16.7,17.5,18.3,19,19.9
710,14.7,15.1,15.9,16.7,17.5,18.3,19,19.9
720,14.7,15.2,15.9,16.7,17.5,18.3,19.1,20
730,14.7,15.2,15.9,16.7,17.5,18.3,19.1,20
740,14.7,15.2,16,16.7,17.5,18.3,19.1,20
750,14.7,15.2,16,16.7,17.6,18.3,19.1,20.1
760,14.7,15.2,16,16.8,17.6,18.4,19.2,20.1
770,14.7,15.2,16,16.8,17.6,18.4,19.2,20.1
780,14.8,15.2,16,16.8,17.6,18.4,19.2,20.1
790,14.8,15.3,16,16.8,17.6,18.4,19.2,20.1
800,14.8,15.3,16,16.8,17.6,18.5,19.3,20.2
810,14.8,15.3,16,16.8,17.6,18.5,19.3,20.2
820,14.8,15.3,16.1,16.8,17.7,18.5,19.3,20.2
830,14.8,15.3,16.1,16.9,17.7,18.5,19.3,20.2
840,14.8,15.3,16.1,16.9,17.7,18.5,19.3,20.2
850,14.8,15.3,16.1,16.9,17.7,18.5,19.3,20.3
860,14.8,15.3,16.1,16.9,17.7,18.6,19.4,20.3
870,14.8,15.3,16.1,16.9,17.7,18.6,19.4,20.3
880,14.8,15.3,16.1,16.9,17.8,18.6,19.4,20.3
890,14.8,15.3,16.1,16.9,17.8,18.6,19.4,20.3
