Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,12,12.2,12.2,12.3,12.3,12.4,12.6,12.7
10,12,12.2,12.2,12.3,12.3,12.4,12.6,12.7
20,12,12.2,12.2,12.3,12.4,12.5,12.6,12.8
30,12,12.2,12.2,12.3,12.4,12.5,12.7,12.9
40,12,12.2,12.2,12.3,12.4,12.6,12.8,13
50,12,12.2,12.3,12.3,12.5,12.6,12.9,13.1
60,12,12.2,12.3,12.4,12.5,12.7,13,13.3
70,12,12.2,12.3,12.4,12.6,12.8,13.1,13.5
80,12,12.3,12.3,12.5,12.7,12.9,13.3,13.6
90,12.1,12.3,12.4,12.6,12.8,13.1,13.5,13.8
100,12.1,12.3,12.4,12.6,12.9,13.2,13.6,14
110,12.1,12.4,12.5,12.7,13,13.3,13.8,14.2
120,12.1,12.4,12.6,12.8,13.1,13.5,14,14.4
130,12.2,12.5,12.6,12.9,13.2,13.6,14.1,14.6
140,12.2,12.5,12.7,13,13.3,13.8,14.3,14.8
150,12.3,12.6,12.8,13.1,13.5,13.9,14.5,15
160,12.3,12.7,12.9,13.2,13.6,14.1,14.7,15.2
170,12.4,12.7,13,13.3,13.7,14.3,14.9,15.4
180,12.4,12.8,13.1,13.4,13.9,14.4,15,15.6
190,12.5,12.9,13.2,13.5,14,14.6,15.2,15.8
200,12.5,12.9,13.2,13.6,14.1,14.7,15.4,16
210,12.6,13,13.3,13.7,14.3,14.9,15.5,16.1
220,12.6,13.1,13.4,13.8,14.4,15,15.7,16.3
230,12.7,13.1,13.5,13.9,14.5,15.1,15.9,16.5
240,12.7,13.2,13.6,14.1,14.7,15.3,16,16.7
250,12.8,13.3,13.7,14.2,14.8,15.4,16.2,16.9
260,12.8,13.3,13.8,14.3,14.9,15.6,16.3,17
270,12.9,13.4,13.9,14.4,15,15.7,16.5,17.2
280,12.9,13.5,14,14.5,15.2,15.9,16.6,17.3
290,13,13.6,14,14.6,15.3,16,16.8,17.5
300,13.1,13.7,14.1,14.7,15.4,16.1,16.9,17.7
310,13.1,13.7,14.2,14.8,15.5,16.3,17.1,17.8
320,13.1,13.8,14.3,14.9,15.6,16.4,17.2,18
330,13.2,13.8,14.4,15,15.7,16.5,17.4,18.1
340,13.2,13.9,14.5,15.1,15.9,16.6,17.5,18.3
350,13.3,14,14.5,15.2,16,16.7,17.6,18.4
360,13.4,14,14.6,15.3,16.1,16.9,17.8,18.6
370,13.4,14.1,14.7,15.4,16.2,17,17.9,18.7
380,13.4,14.1,14.8,15.4,16.3,17.1,18,18.8
390,13.5,14.2,14.8,15.5,16.4,17.2,18.1,18.9
400,13.5,14.3,14.9,15.6,16.5,17.3,18.2,19.1
410,13.6,14.3,15,15.7,16.6,17.4,18.3,19.2
420,13.6,14.4,15.1,15.8,16.7,17.5,18.5,19.3
430,13.7,14.4,15.1,15.9,16.8,17.6,18.6,19.4
440,13.7,14.5,15.2,16,16.9,17.8,18.7,19.6
450,13.7,14.5,15.3,16,17,17.9,18.8,19.7
460,13.8,14.6,15.3,16.1,17,17.9,18.9,19.8
470,13.8,14.6,15.4,16.2,17.1,18,19,19.9
480,13.9,14.7,15.5,16.3,17.2,18.1,19.1,20
490,13.9,14.7,15.5,16.4,17.3,18.2,19.2,20.1
