Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,13.6,14.3,14.9,15.3,15.7,16.3,16.4,16.8
10,13.6,14.3,14.9,15.3,15.7,16.3,16.4,16.8
20,13.6,14.3,14.9,15.3,15.7,16.3,16.4,16.8
30,13.7,14.3,14.9,15.3,15.8,16.3,16.4,16.9
40,13.7,14.3,14.9,15.3,15.7,16.3,16.5,16.9
50,13.7,14.3,14.9,15.3,15.7,16.3,16.5,17
60,13.6,14.3,14.9,15.3,15.7,16.3,16.5,17
70,13.6,14.3,14.9,15.3,15.7,16.3,16.5,17.1
80,13.7,14.3,14.9,15.3,15.7,16.3,16.5,17.2
90,13.7,14.3,14.9,15.3,15.8,16.3,16.6,17.2
100,13.7,14.3,14.9,15.3,15.8,16.3,16.6,17.3
110,13.7,14.3,14.9,15.3,15.8,16.4,16.7,17.4
120,13.7,14.3,14.9,15.4,15.8,16.4,16.7,17.5
130,13.6,14.3,14.9,15.4,15.8,16.4,16.8,17.6
140,13.7,14.3,14.9,15.4,15.8,16.4,16.8,17.7
150,13.6,14.3,14.9,15.4,15.8,16.5,16.9,17.8
160,13.7,14.3,14.9,15.4,15.9,16.5,17,17.9
170,13.7,14.3,14.9,15.4,15.9,16.5,17,18.1
180,13.7,14.3,14.9,15.4,15.9,16.5,17.1,18.2
190,13.7,14.3,14.9,15.4,15.9,16.6,17.2,18.3
200,13.7,14.3,14.9,15.4,15.9,16.6,17.2,18.4
210,13.7,14.3,14.9,15.4,16,16.7,17.3,18.5
220,13.7,14.3,14.9,15.5,16,16.7,17.4,18.6
230,13.7,14.3,14.9,15.5,16,16.8,17.5,18.7
240,13.7,14.3,14.9,15.5,16,16.8,17.6,18.9
250,13.7,14.3,15,15.5,16.1,16.9,17.7,19
260,13.7,14.3,15,15.5,16.1,16.9,17.8,19.1
270,13.7,14.3,15,15.5,16.1,17,17.8,19.2
280,13.7,14.3,15,15.6,16.2,17,17.9,19.4
290,13.7,14.4,15,15.6,16.2,17.1,18,19.5
300,13.7,14.4,15,15.6,16.3,17.2,18.1,19.6
310,13.7,14.4,15,15.6,16.3,17.2,18.2,19.7
320,13.7,14.4,15.1,15.7,16.4,17.3,18.3,19.9
330,13.7,14.4,15.1,15.7,16.4,17.3,18.4,20
340,13.7,14.4,15.1,15.7,16.5,17.4,18.5,20.1
350,13.7,14.4,15.1,15.8,16.5,17.5,18.6,20.2
360,13.7,14.4,15.1,15.8,16.6,17.5,18.7,20.4
370,13.7,14.4,15.2,15.8,16.6,17.6,18.8,20.5
380,13.7,14.5,15.2,15.9,16.7,17.7,18.9,20.6
390,13.7,14.5,15.2,15.9,16.7,17.7,18.9,20.7
400,13.7,14.5,15.2,15.9,16.8,17.8,19,20.8
410,13.7,14.5,15.2,16,16.8,17.9,19.1,21
420,13.8,14.5,15.3,16,16.9,18,19.2,21.1
430,13.8,14.5,15.3,16.1,16.9,18,19.4,21.2
440,13.8,14.5,15.3,16.1,17,18.1,19.4,21.3
450,13.8,14.6,15.3,16.1,17,18.2,19.5,21.5
460,13.8,14.6,15.4,16.2,17.1,18.2,19.6,21.6
470,13.8,14.6,15.4,16.2,17.2,18.3,19.7,21.7
480,13.8,14.6,15.4,16.3,17.2,18.4,19.8,21.8
490,13.8,14.6,15.5,16.3,17.3,18.5,19.9,21.9
500,13.9,14.7,15.5,16.3,17.3,18.5,20,22.1
510,13.9,14.7,15.5,16.4,17.4,18.6,20.1,22.2
520,13.9,14.7,15.6,16.4,17.4,18.7,20.2,22.3
530,13.9,14.7,15.6,16.5,17.5,18.8,20.3,22.4
